feedback,status,subject,enrollment_date,age,country,study_hours_per_week
I completed all modules and feel more confident now.,Completed,Computer Science,07-02-2022,27,Japan,11.8
The course was okay but could be better.,Dropout,Computer Science,05-04-2023,34,India,8.2
I liked parts of the course but not everything.,Completed,Physics,03-03-2024,32,UK,19.6
I really enjoyed the instructor's teaching style.,Completed,Data Science,07-01-2023,42,Canada,9.7
I completed all modules and feel more confident now.,Completed,Physics,22-12-2022,19,Germany,10.7
The overall experience was decent but not outstanding.,Completed,Philosophy,17-06-2024,23,Australia,18.3
I really enjoyed the instructor's teaching style.,Completed,Business,12-01-2024,39,South Africa,12.7
I liked parts of the course but not everything.,Dropout,Computer Science,15-01-2022,21,USA,13.9
The overall experience was decent but not outstanding.,Completed,Machine Learning,13-08-2024,39,South Africa,4.9
"Some topics were useful, others were not very relevant.",Dropout,Data Science,18-05-2024,34,Germany,8.7
I really enjoyed the instructor's teaching style.,Completed,Data Science,08-12-2024,28,Japan,10
"The pace was average, not too fast or too slow.",Completed,History,07-09-2024,45,Japan,6.6
I lost motivation because the content was overwhelming.,Dropout,History,15-07-2023,26,South Africa,2
This course helped me a lot in understanding the subject.,Completed,Mathematics,30-09-2024,30,South Africa,13.5
The overall experience was decent but not outstanding.,Completed,History,25-06-2023,41,Germany,10.8
"Some topics were useful, others were not very relevant.",Completed,Philosophy,16-06-2023,44,Japan,13
I really enjoyed the instructor's teaching style.,Completed,Business,26-12-2023,44,Canada,6.2
I completed all modules and feel more confident now.,Completed,Business,15-03-2022,40,UK,5.8
This course helped me a lot in understanding the subject.,Completed,Computer Science,11-10-2024,23,Japan,13.3
"The pace was average, not too fast or too slow.",Completed,Philosophy,26-03-2024,28,Canada,13.2
The course was okay but could be better.,Completed,Data Science,01-05-2023,32,Germany,6.3
I liked parts of the course but not everything.,Dropout,Economics,15-01-2022,29,Canada,11.1
"The pace was average, not too fast or too slow.",Dropout,Business,05-04-2024,36,Canada,4.5
I lost motivation because the content was overwhelming.,Dropout,History,17-02-2024,27,China,1.8
The course was very engaging and easy to follow.,Completed,Computer Science,30-03-2023,32,Canada,2.1
I really enjoyed the instructor's teaching style.,Completed,Business,03-01-2022,41,Brazil,5.2
The course was very engaging and easy to follow.,Completed,Business,31-07-2022,19,UK,8.7
"The pace was average, not too fast or too slow.",Dropout,Computer Science,03-06-2024,24,Canada,17.9
I liked parts of the course but not everything.,Completed,Psychology,24-05-2024,26,Brazil,17.4
I lost motivation because the content was overwhelming.,Dropout,Physics,07-10-2022,33,Canada,16.6
I completed all modules and feel more confident now.,Completed,Machine Learning,19-11-2023,37,UK,15.9
I really enjoyed the instructor's teaching style.,Completed,Data Science,01-07-2022,18,UK,12.9
The course was very engaging and easy to follow.,Completed,Computer Science,28-12-2024,21,Japan,7.2
I completed all modules and feel more confident now.,Completed,Economics,22-06-2023,36,South Africa,10
This course helped me a lot in understanding the subject.,Completed,Economics,07-02-2023,25,India,9.1
I completed all modules and feel more confident now.,Completed,Physics,21-10-2023,32,Germany,6.1
"The pace was average, not too fast or too slow.",Completed,Philosophy,07-03-2023,45,Germany,1.4
The content was clear and well structured.,Completed,History,06-03-2022,23,South Africa,1.6
"The pace was average, not too fast or too slow.",Completed,Computer Science,16-11-2023,31,South Africa,2.1
"The pace was average, not too fast or too slow.",Dropout,Machine Learning,24-11-2022,37,UK,5.5
I really enjoyed the instructor's teaching style.,Completed,Physics,13-08-2022,22,Canada,10.3
The course was okay but could be better.,Completed,Philosophy,02-12-2024,27,USA,14.3
I lost motivation because the content was overwhelming.,Dropout,Computer Science,22-04-2024,34,South Africa,1.2
I liked parts of the course but not everything.,Dropout,Philosophy,16-05-2022,42,India,12.9
The course was okay but could be better.,Completed,Machine Learning,03-03-2022,44,Brazil,6.1
The course was very engaging and easy to follow.,Completed,Computer Science,16-12-2024,24,China,13.9
I liked parts of the course but not everything.,Completed,Economics,05-07-2023,34,Canada,16.3
The instructor did not explain concepts clearly.,Dropout,Economics,21-12-2023,32,Canada,9.2
I completed all modules and feel more confident now.,Completed,Data Science,20-08-2023,26,Japan,3.5
"The pace was average, not too fast or too slow.",Dropout,Data Science,21-01-2022,24,USA,17.5
"Some topics were useful, others were not very relevant.",Dropout,Psychology,19-05-2023,41,USA,9.1
The overall experience was decent but not outstanding.,Completed,Economics,01-07-2023,26,Australia,17.9
The overall experience was decent but not outstanding.,Completed,Physics,19-02-2022,24,UK,19.5
I liked parts of the course but not everything.,Dropout,Business,11-06-2024,18,Germany,3.9
I found the lectures boring and unhelpful.,Dropout,Business,22-11-2022,24,India,18.1
"Some topics were useful, others were not very relevant.",Completed,Physics,25-03-2023,18,Japan,16.6
I lost motivation because the content was overwhelming.,Dropout,Business,29-03-2024,29,Australia,19.4
The course was too difficult and confusing.,Dropout,Computer Science,29-08-2022,43,Germany,6.2
There were too many assignments with little explanation.,Dropout,Computer Science,03-03-2023,23,India,3.2
This course helped me a lot in understanding the subject.,Completed,Machine Learning,31-10-2023,18,India,6.6
I found the lectures boring and unhelpful.,Dropout,Economics,14-10-2022,40,India,15.4
"The pace was average, not too fast or too slow.",Completed,Mathematics,24-04-2022,27,China,17.6
The overall experience was decent but not outstanding.,Dropout,Physics,25-04-2022,29,Australia,11.1
This course helped me a lot in understanding the subject.,Completed,Economics,06-01-2024,32,South Africa,12.4
The overall experience was decent but not outstanding.,Dropout,Economics,04-11-2022,26,Germany,13.1
This course helped me a lot in understanding the subject.,Completed,Economics,03-08-2022,29,USA,11.2
The content was clear and well structured.,Completed,Physics,21-11-2024,45,UK,9.3
The content was clear and well structured.,Completed,Philosophy,29-12-2023,45,USA,10.6
The course was okay but could be better.,Dropout,Business,14-08-2024,39,Brazil,15.7
The course was okay but could be better.,Dropout,Business,26-03-2022,25,India,18.8
The overall experience was decent but not outstanding.,Dropout,History,04-11-2023,45,Australia,6
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,25-11-2023,18,Australia,10.7
The overall experience was decent but not outstanding.,Completed,Machine Learning,29-10-2023,41,India,10.7
The instructor did not explain concepts clearly.,Dropout,Psychology,13-04-2024,40,Australia,1.8
The course was very engaging and easy to follow.,Completed,Computer Science,25-04-2024,37,Germany,7.6
The overall experience was decent but not outstanding.,Completed,Physics,25-01-2024,45,Germany,10.7
The course was too difficult and confusing.,Dropout,Economics,02-10-2022,39,UK,9.5
I completed all modules and feel more confident now.,Completed,Computer Science,14-07-2024,38,South Africa,18.7
The course was okay but could be better.,Completed,Philosophy,04-01-2023,29,Australia,17.7
There were too many assignments with little explanation.,Dropout,Physics,19-11-2024,32,UK,17.2
I liked parts of the course but not everything.,Dropout,Philosophy,20-08-2024,37,India,1.3
The instructor did not explain concepts clearly.,Dropout,Business,16-01-2024,37,Australia,11.4
The overall experience was decent but not outstanding.,Completed,History,03-08-2024,26,USA,9.3
I lost motivation because the content was overwhelming.,Dropout,Philosophy,30-11-2023,43,Brazil,13.5
I really enjoyed the instructor's teaching style.,Completed,Mathematics,07-11-2023,29,Japan,5.2
There were too many assignments with little explanation.,Dropout,Computer Science,01-06-2024,32,Australia,12.9
"Some topics were useful, others were not very relevant.",Dropout,Psychology,11-09-2022,43,UK,18.3
I liked parts of the course but not everything.,Dropout,Mathematics,15-09-2024,30,Germany,4.7
The instructor did not explain concepts clearly.,Dropout,Business,20-08-2022,40,Canada,6.2
The course was very engaging and easy to follow.,Completed,Data Science,26-11-2023,27,Germany,7.4
The instructor did not explain concepts clearly.,Dropout,Business,30-12-2023,37,Germany,17.9
"Some topics were useful, others were not very relevant.",Completed,Mathematics,09-09-2022,31,China,19.2
I lost motivation because the content was overwhelming.,Dropout,Business,17-09-2024,40,Brazil,8.9
"The pace was average, not too fast or too slow.",Dropout,Philosophy,31-12-2023,42,India,6.7
The course was too difficult and confusing.,Dropout,Economics,04-05-2024,42,India,6.6
I liked parts of the course but not everything.,Dropout,Machine Learning,29-01-2024,28,South Africa,11.6
I found the lectures boring and unhelpful.,Dropout,Philosophy,24-07-2024,36,Canada,5.2
The course was very engaging and easy to follow.,Completed,Philosophy,12-05-2023,45,USA,13.7
The course was very engaging and easy to follow.,Completed,Economics,26-11-2024,34,China,7.7
I found the lectures boring and unhelpful.,Dropout,Data Science,25-01-2024,29,China,4.7
I found the lectures boring and unhelpful.,Dropout,Machine Learning,27-01-2024,44,Canada,4.3
"Some topics were useful, others were not very relevant.",Dropout,Psychology,10-04-2022,19,Japan,14.5
I lost motivation because the content was overwhelming.,Dropout,Philosophy,06-06-2024,25,South Africa,12.2
The course was too difficult and confusing.,Dropout,Physics,05-07-2024,34,UK,18.9
"The pace was average, not too fast or too slow.",Dropout,Economics,09-03-2023,34,Australia,6.4
"The pace was average, not too fast or too slow.",Completed,Machine Learning,24-04-2024,42,South Africa,9.2
The instructor did not explain concepts clearly.,Dropout,Mathematics,17-01-2022,35,Canada,6.7
There were too many assignments with little explanation.,Dropout,Psychology,17-01-2023,41,Brazil,9.3
I completed all modules and feel more confident now.,Completed,Mathematics,25-04-2024,27,Australia,17.1
I liked parts of the course but not everything.,Completed,Economics,02-02-2023,42,UK,15.5
"Some topics were useful, others were not very relevant.",Completed,Physics,24-06-2024,37,Germany,10.8
I liked parts of the course but not everything.,Completed,Psychology,13-07-2023,37,Japan,4.2
"The pace was average, not too fast or too slow.",Completed,Computer Science,30-06-2022,27,Australia,8.3
The overall experience was decent but not outstanding.,Dropout,Philosophy,17-11-2023,25,USA,16.4
"Some topics were useful, others were not very relevant.",Completed,History,29-09-2023,38,UK,4.7
The course was very engaging and easy to follow.,Completed,Mathematics,15-02-2024,43,Japan,15.4
I completed all modules and feel more confident now.,Completed,Philosophy,06-03-2024,30,Brazil,13.7
I found the lectures boring and unhelpful.,Dropout,Economics,08-01-2023,44,UK,12
I lost motivation because the content was overwhelming.,Dropout,Mathematics,30-06-2023,30,China,10.3
The course was too difficult and confusing.,Dropout,Physics,15-08-2024,24,Canada,10.2
The course was very engaging and easy to follow.,Completed,History,12-05-2022,24,China,8.9
"The pace was average, not too fast or too slow.",Completed,Business,12-10-2024,34,Canada,2
The course was okay but could be better.,Completed,Business,28-02-2024,39,Germany,13.8
"Some topics were useful, others were not very relevant.",Completed,Business,31-07-2024,34,Brazil,11.7
The course was too difficult and confusing.,Dropout,Business,22-11-2023,20,UK,18.4
"Some topics were useful, others were not very relevant.",Completed,Psychology,08-06-2023,37,Australia,5.1
This course helped me a lot in understanding the subject.,Completed,Mathematics,14-08-2024,19,Germany,8.8
"Some topics were useful, others were not very relevant.",Completed,Business,31-01-2023,26,Australia,4.4
The instructor did not explain concepts clearly.,Dropout,Mathematics,29-06-2022,39,China,9.2
I liked parts of the course but not everything.,Completed,Machine Learning,26-01-2024,22,India,5.7
The overall experience was decent but not outstanding.,Dropout,Machine Learning,16-12-2024,29,India,16.3
The course was okay but could be better.,Completed,Machine Learning,28-04-2023,25,Germany,17.7
The course was very engaging and easy to follow.,Completed,Economics,29-06-2022,38,Australia,19.8
There were too many assignments with little explanation.,Dropout,Philosophy,22-10-2024,45,South Africa,18.1
This course helped me a lot in understanding the subject.,Completed,Mathematics,30-09-2024,39,Japan,14.1
The instructor did not explain concepts clearly.,Dropout,Mathematics,01-03-2023,24,China,2.8
The course was very engaging and easy to follow.,Completed,Economics,08-06-2022,41,South Africa,1.8
The content was clear and well structured.,Completed,Mathematics,16-06-2022,34,Australia,7.6
The overall experience was decent but not outstanding.,Completed,History,12-01-2024,37,Japan,1.4
I liked parts of the course but not everything.,Dropout,Data Science,05-01-2023,29,Japan,12.8
I found the lectures boring and unhelpful.,Dropout,Psychology,18-03-2023,28,China,16.6
The instructor did not explain concepts clearly.,Dropout,Data Science,18-09-2024,33,Germany,3.3
"Some topics were useful, others were not very relevant.",Dropout,Machine Learning,23-01-2022,37,UK,18
I found the lectures boring and unhelpful.,Dropout,History,22-07-2024,27,Germany,16.3
I liked parts of the course but not everything.,Dropout,Machine Learning,02-08-2023,32,Canada,19.4
The course was too difficult and confusing.,Dropout,Psychology,19-05-2023,20,Japan,3.4
This course helped me a lot in understanding the subject.,Completed,Machine Learning,03-01-2023,31,Brazil,8.8
The course was very engaging and easy to follow.,Completed,Mathematics,30-03-2023,24,Brazil,2.6
The course was okay but could be better.,Completed,Business,10-11-2024,18,Brazil,15.5
I liked parts of the course but not everything.,Completed,Business,11-11-2023,28,UK,9
The course was too difficult and confusing.,Dropout,Physics,09-04-2024,38,South Africa,15.2
I liked parts of the course but not everything.,Dropout,Business,19-08-2022,18,India,17.9
"Some topics were useful, others were not very relevant.",Completed,Economics,25-09-2024,19,Brazil,12
I liked parts of the course but not everything.,Completed,Machine Learning,26-05-2022,23,USA,14.3
"Some topics were useful, others were not very relevant.",Dropout,Computer Science,19-02-2023,43,UK,19.5
This course helped me a lot in understanding the subject.,Completed,Philosophy,16-04-2023,42,Canada,1.3
I completed all modules and feel more confident now.,Completed,Economics,01-08-2023,41,Japan,14.3
"Some topics were useful, others were not very relevant.",Dropout,Business,26-08-2024,44,India,18
This course helped me a lot in understanding the subject.,Completed,Mathematics,10-08-2022,40,China,5.3
The instructor did not explain concepts clearly.,Dropout,Mathematics,21-03-2024,39,Australia,8.8
The course was okay but could be better.,Completed,Machine Learning,20-02-2022,22,India,6.8
The course was okay but could be better.,Dropout,Psychology,30-10-2024,19,Germany,2.9
I lost motivation because the content was overwhelming.,Dropout,Psychology,12-03-2024,42,Germany,14.7
"Some topics were useful, others were not very relevant.",Dropout,Physics,03-05-2023,18,Germany,10.2
I completed all modules and feel more confident now.,Completed,Physics,11-08-2024,40,India,1.1
I really enjoyed the instructor's teaching style.,Completed,History,24-06-2023,25,South Africa,18.7
There were too many assignments with little explanation.,Dropout,Machine Learning,05-08-2024,18,Australia,9.4
There were too many assignments with little explanation.,Dropout,Business,14-12-2022,35,Canada,17.4
I really enjoyed the instructor's teaching style.,Completed,Computer Science,06-02-2024,30,China,3.1
The overall experience was decent but not outstanding.,Completed,Computer Science,07-02-2024,19,Germany,12.5
This course helped me a lot in understanding the subject.,Completed,Philosophy,05-05-2023,18,USA,19.6
The course was okay but could be better.,Completed,Philosophy,21-06-2022,42,Brazil,12.5
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,26-09-2024,36,Canada,19.9
I completed all modules and feel more confident now.,Completed,Computer Science,27-02-2022,34,Japan,14.6
I completed all modules and feel more confident now.,Completed,Data Science,29-02-2024,29,Australia,18.6
The content was clear and well structured.,Completed,Business,19-02-2023,44,Germany,9.9
"Some topics were useful, others were not very relevant.",Completed,Business,14-01-2022,36,Australia,8.4
I liked parts of the course but not everything.,Dropout,Economics,19-10-2023,31,UK,13.4
I liked parts of the course but not everything.,Dropout,Machine Learning,24-11-2022,31,India,15.4
I really enjoyed the instructor's teaching style.,Completed,Machine Learning,12-06-2024,34,India,15.1
The overall experience was decent but not outstanding.,Dropout,Physics,11-06-2024,44,India,12.2
The overall experience was decent but not outstanding.,Dropout,Psychology,08-01-2022,44,China,2.3
The course was very engaging and easy to follow.,Completed,Data Science,07-02-2023,22,South Africa,14.1
"The pace was average, not too fast or too slow.",Dropout,Data Science,07-12-2023,45,China,9.8
I liked parts of the course but not everything.,Completed,Data Science,23-06-2022,26,Japan,9.8
"The pace was average, not too fast or too slow.",Completed,Mathematics,25-07-2022,21,Japan,7.4
I completed all modules and feel more confident now.,Completed,History,27-02-2022,33,South Africa,4.8
The overall experience was decent but not outstanding.,Completed,Business,10-03-2024,40,Japan,14
There were too many assignments with little explanation.,Dropout,Data Science,27-12-2023,45,USA,19.4
"Some topics were useful, others were not very relevant.",Completed,Physics,30-07-2024,43,Australia,14.9
The course was okay but could be better.,Dropout,Data Science,10-04-2022,33,Germany,3
I completed all modules and feel more confident now.,Completed,Economics,02-05-2024,38,South Africa,4.6
"The pace was average, not too fast or too slow.",Dropout,Mathematics,20-08-2022,33,South Africa,6
I completed all modules and feel more confident now.,Completed,Computer Science,12-07-2024,37,Canada,8.1
"The pace was average, not too fast or too slow.",Completed,Psychology,19-03-2023,35,Canada,8.1
I really enjoyed the instructor's teaching style.,Completed,Mathematics,20-12-2023,22,India,17
The course was too difficult and confusing.,Dropout,History,05-06-2023,31,Japan,3.3
I liked parts of the course but not everything.,Completed,Machine Learning,02-07-2022,36,Brazil,19.3
I lost motivation because the content was overwhelming.,Dropout,Business,05-05-2023,39,India,5
I lost motivation because the content was overwhelming.,Dropout,Economics,06-09-2024,35,Canada,1.8
"The pace was average, not too fast or too slow.",Completed,Mathematics,21-11-2024,43,South Africa,8.1
The course was okay but could be better.,Dropout,Business,31-12-2022,31,UK,2
"The pace was average, not too fast or too slow.",Completed,Computer Science,04-06-2023,33,China,3.4
"The pace was average, not too fast or too slow.",Dropout,Mathematics,05-04-2024,36,Japan,4.7
I really enjoyed the instructor's teaching style.,Completed,Computer Science,18-04-2023,36,UK,16.2
The overall experience was decent but not outstanding.,Dropout,Physics,19-06-2022,32,South Africa,10.7
The course was very engaging and easy to follow.,Completed,Physics,22-07-2023,39,South Africa,8.1
The course was okay but could be better.,Dropout,Business,14-09-2024,40,South Africa,14.8
I liked parts of the course but not everything.,Dropout,Psychology,22-02-2023,20,UK,13.7
The instructor did not explain concepts clearly.,Dropout,Business,27-02-2023,29,Canada,10.6
I found the lectures boring and unhelpful.,Dropout,Business,10-10-2024,29,India,17.3
I liked parts of the course but not everything.,Dropout,Mathematics,13-04-2022,37,Australia,10.8
"Some topics were useful, others were not very relevant.",Dropout,Philosophy,04-02-2024,32,Germany,19.8
The overall experience was decent but not outstanding.,Dropout,Psychology,08-02-2023,24,Japan,2.9
I liked parts of the course but not everything.,Completed,Data Science,02-12-2024,35,Germany,7.2
The overall experience was decent but not outstanding.,Completed,Psychology,12-04-2023,42,Japan,13.2
I completed all modules and feel more confident now.,Completed,Machine Learning,04-05-2022,43,USA,1.3
I liked parts of the course but not everything.,Dropout,Philosophy,28-08-2024,26,Japan,4.7
The overall experience was decent but not outstanding.,Completed,Mathematics,23-08-2022,18,USA,17.2
"The pace was average, not too fast or too slow.",Dropout,Economics,01-05-2024,37,Japan,13.2
There were too many assignments with little explanation.,Dropout,Philosophy,18-05-2023,29,South Africa,19.5
This course helped me a lot in understanding the subject.,Completed,Economics,21-09-2023,43,China,17.9
I found the lectures boring and unhelpful.,Dropout,Machine Learning,28-10-2023,40,South Africa,1.7
The instructor did not explain concepts clearly.,Dropout,Computer Science,27-01-2024,30,India,13.2
I completed all modules and feel more confident now.,Completed,Mathematics,27-02-2024,23,Australia,16.8
The course was okay but could be better.,Completed,Psychology,02-05-2024,23,India,18.3
I lost motivation because the content was overwhelming.,Dropout,Business,29-05-2023,43,Brazil,12.8
There were too many assignments with little explanation.,Dropout,Physics,06-08-2023,18,South Africa,16.9
I liked parts of the course but not everything.,Dropout,Physics,28-08-2023,25,Australia,8.3
The overall experience was decent but not outstanding.,Dropout,Business,15-06-2023,33,India,14.7
"Some topics were useful, others were not very relevant.",Dropout,Data Science,27-05-2023,36,China,17.2
The course was too difficult and confusing.,Dropout,Computer Science,03-01-2024,21,Brazil,4.6
I found the lectures boring and unhelpful.,Dropout,Psychology,24-06-2022,41,UK,1
There were too many assignments with little explanation.,Dropout,Psychology,07-08-2022,33,Germany,8.6
"The pace was average, not too fast or too slow.",Completed,Data Science,23-11-2023,31,Australia,13.6
"The pace was average, not too fast or too slow.",Dropout,Business,07-07-2023,21,Canada,5.1
"Some topics were useful, others were not very relevant.",Dropout,History,07-01-2024,41,India,3.7
The overall experience was decent but not outstanding.,Completed,Machine Learning,05-11-2023,31,Germany,11.5
The overall experience was decent but not outstanding.,Completed,Machine Learning,04-02-2024,41,South Africa,11.4
The course was okay but could be better.,Dropout,Mathematics,15-09-2023,36,UK,4.2
I found the lectures boring and unhelpful.,Dropout,Psychology,24-11-2022,36,Japan,18.3
"The pace was average, not too fast or too slow.",Completed,Machine Learning,18-08-2023,21,Australia,1.1
I lost motivation because the content was overwhelming.,Dropout,Economics,12-01-2024,40,Brazil,18.1
The overall experience was decent but not outstanding.,Dropout,Machine Learning,06-08-2023,45,UK,8.8
The course was too difficult and confusing.,Dropout,Machine Learning,29-11-2022,44,India,3.1
The course was very engaging and easy to follow.,Completed,Mathematics,16-04-2022,37,China,13.3
"Some topics were useful, others were not very relevant.",Completed,Philosophy,27-10-2024,34,China,8.4
The overall experience was decent but not outstanding.,Completed,Psychology,01-06-2022,40,China,3.8
The overall experience was decent but not outstanding.,Dropout,Machine Learning,22-05-2023,39,Brazil,9.7
The overall experience was decent but not outstanding.,Completed,Machine Learning,02-05-2024,27,Australia,14.2
The course was okay but could be better.,Dropout,Physics,03-11-2022,41,USA,11.6
I found the lectures boring and unhelpful.,Dropout,Machine Learning,26-01-2023,19,China,7
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,06-01-2024,30,China,15.6
The instructor did not explain concepts clearly.,Dropout,Mathematics,29-05-2023,40,India,14.8
The instructor did not explain concepts clearly.,Dropout,History,23-12-2022,30,South Africa,16.8
There were too many assignments with little explanation.,Dropout,Data Science,13-10-2022,28,Canada,18.8
The content was clear and well structured.,Completed,Physics,18-05-2024,32,India,16.5
"Some topics were useful, others were not very relevant.",Completed,Data Science,29-09-2023,42,UK,12.8
The overall experience was decent but not outstanding.,Dropout,Economics,07-10-2024,38,Brazil,14.5
I completed all modules and feel more confident now.,Completed,Data Science,19-10-2024,33,UK,2.4
The course was okay but could be better.,Completed,Mathematics,22-08-2023,44,India,1.4
The course was too difficult and confusing.,Dropout,Business,30-05-2022,18,Japan,14.6
The content was clear and well structured.,Completed,Psychology,04-08-2024,43,UK,7.5
"Some topics were useful, others were not very relevant.",Dropout,Business,16-08-2023,20,Brazil,15.2
The overall experience was decent but not outstanding.,Dropout,Mathematics,21-09-2024,45,Brazil,15.3
The overall experience was decent but not outstanding.,Dropout,Economics,16-10-2023,40,UK,5.2
"The pace was average, not too fast or too slow.",Dropout,Mathematics,13-11-2024,36,Canada,18.2
There were too many assignments with little explanation.,Dropout,Computer Science,23-05-2024,34,India,10.1
The instructor did not explain concepts clearly.,Dropout,Mathematics,21-04-2023,29,South Africa,15.7
I found the lectures boring and unhelpful.,Dropout,Economics,23-01-2024,36,Canada,2.3
"Some topics were useful, others were not very relevant.",Dropout,Philosophy,19-01-2023,39,USA,13.4
This course helped me a lot in understanding the subject.,Completed,Psychology,15-08-2024,41,India,7.6
The course was very engaging and easy to follow.,Completed,Computer Science,08-09-2024,29,India,14.7
The overall experience was decent but not outstanding.,Completed,Psychology,29-03-2024,24,Germany,9.7
"Some topics were useful, others were not very relevant.",Completed,Mathematics,25-05-2022,25,China,18.8
The overall experience was decent but not outstanding.,Completed,Business,30-05-2022,37,Australia,11.5
I completed all modules and feel more confident now.,Completed,Mathematics,30-11-2022,29,Japan,7.3
I lost motivation because the content was overwhelming.,Dropout,Physics,12-03-2022,41,Germany,12.6
I completed all modules and feel more confident now.,Completed,Machine Learning,26-04-2024,24,Germany,3.1
The course was too difficult and confusing.,Dropout,Philosophy,21-04-2024,33,Australia,7.5
"Some topics were useful, others were not very relevant.",Dropout,Physics,03-04-2024,42,Germany,14.9
The course was okay but could be better.,Dropout,Data Science,31-05-2023,20,South Africa,5.5
There were too many assignments with little explanation.,Dropout,Physics,19-06-2023,22,Brazil,17.5
"The pace was average, not too fast or too slow.",Completed,Computer Science,22-03-2022,40,Canada,17.8
I lost motivation because the content was overwhelming.,Dropout,Economics,18-08-2022,22,China,2.5
"The pace was average, not too fast or too slow.",Dropout,Philosophy,17-04-2023,29,Australia,13.8
The content was clear and well structured.,Completed,Machine Learning,25-05-2022,23,South Africa,15.2
This course helped me a lot in understanding the subject.,Completed,Computer Science,22-03-2023,20,USA,6.8
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,03-02-2022,35,China,8.7
The course was too difficult and confusing.,Dropout,History,16-11-2023,43,Japan,17.9
The course was too difficult and confusing.,Dropout,Physics,26-12-2024,21,China,16.2
"Some topics were useful, others were not very relevant.",Dropout,Psychology,02-02-2024,40,USA,13.9
There were too many assignments with little explanation.,Dropout,Machine Learning,22-10-2024,22,Australia,2.4
The course was very engaging and easy to follow.,Completed,Economics,28-06-2022,32,India,3.6
"Some topics were useful, others were not very relevant.",Completed,Machine Learning,19-05-2024,38,China,9.9
This course helped me a lot in understanding the subject.,Completed,Mathematics,12-05-2022,27,Japan,12.5
The course was very engaging and easy to follow.,Completed,Physics,20-09-2022,18,Australia,4.6
I liked parts of the course but not everything.,Completed,Psychology,13-03-2023,41,Canada,6.8
I found the lectures boring and unhelpful.,Dropout,Data Science,22-04-2024,29,USA,17.5
The instructor did not explain concepts clearly.,Dropout,History,04-01-2022,20,India,13
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,26-04-2023,28,Germany,7.3
The overall experience was decent but not outstanding.,Completed,Psychology,30-09-2022,19,South Africa,15.4
There were too many assignments with little explanation.,Dropout,Physics,02-01-2024,31,South Africa,3.5
I liked parts of the course but not everything.,Dropout,History,07-06-2022,40,China,16.2
"The pace was average, not too fast or too slow.",Completed,Computer Science,02-10-2024,31,South Africa,15
I really enjoyed the instructor's teaching style.,Completed,Physics,21-10-2024,33,South Africa,13.5
I lost motivation because the content was overwhelming.,Dropout,Philosophy,22-06-2022,35,Japan,5.2
The content was clear and well structured.,Completed,Data Science,23-07-2023,34,South Africa,5.3
The course was okay but could be better.,Completed,Machine Learning,02-06-2023,28,Germany,15
"The pace was average, not too fast or too slow.",Completed,Machine Learning,23-07-2024,44,Canada,6.3
I liked parts of the course but not everything.,Dropout,Philosophy,04-04-2024,42,Australia,14.8
I lost motivation because the content was overwhelming.,Dropout,Machine Learning,14-12-2023,33,Germany,10.7
The overall experience was decent but not outstanding.,Dropout,Machine Learning,29-10-2023,25,Brazil,14.7
The course was okay but could be better.,Dropout,Psychology,19-09-2023,37,Canada,15.6
I liked parts of the course but not everything.,Dropout,Machine Learning,10-10-2023,26,India,18.9
"The pace was average, not too fast or too slow.",Dropout,Business,11-05-2024,32,India,3.7
I liked parts of the course but not everything.,Dropout,Machine Learning,29-12-2023,24,South Africa,11.6
The content was clear and well structured.,Completed,Data Science,11-12-2023,29,Germany,14.7
The course was okay but could be better.,Dropout,Psychology,02-08-2023,42,India,9.6
I liked parts of the course but not everything.,Completed,Computer Science,27-10-2024,45,China,11.2
There were too many assignments with little explanation.,Dropout,Machine Learning,06-03-2022,41,India,9.7
The course was too difficult and confusing.,Dropout,Psychology,14-02-2022,42,Japan,6.9
I found the lectures boring and unhelpful.,Dropout,Mathematics,28-08-2023,30,USA,14.1
I liked parts of the course but not everything.,Completed,Economics,01-02-2022,26,USA,18.9
The instructor did not explain concepts clearly.,Dropout,Economics,25-05-2024,31,South Africa,2.6
I completed all modules and feel more confident now.,Completed,Psychology,02-11-2022,31,UK,15.6
I liked parts of the course but not everything.,Completed,Data Science,14-06-2023,36,China,8.9
I found the lectures boring and unhelpful.,Dropout,Data Science,29-08-2022,34,South Africa,9.9
I lost motivation because the content was overwhelming.,Dropout,Physics,18-11-2022,28,South Africa,15.8
I completed all modules and feel more confident now.,Completed,Physics,01-03-2022,32,Canada,3.6
"Some topics were useful, others were not very relevant.",Completed,Economics,15-09-2024,39,Australia,12.4
I lost motivation because the content was overwhelming.,Dropout,Data Science,19-06-2023,43,Canada,10.8
I liked parts of the course but not everything.,Dropout,Computer Science,21-10-2024,36,Japan,3.7
The overall experience was decent but not outstanding.,Completed,Mathematics,04-08-2023,32,India,6.4
I found the lectures boring and unhelpful.,Dropout,Physics,02-05-2022,20,China,9.1
This course helped me a lot in understanding the subject.,Completed,Mathematics,22-05-2023,20,Australia,18.5
The course was okay but could be better.,Completed,Machine Learning,10-11-2024,43,USA,4.2
The overall experience was decent but not outstanding.,Completed,Machine Learning,30-08-2024,19,India,5.7
